STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,DATE,DTWL,
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.46330,82.02710,10-01-2026,7.58,
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Mallavaram Mammilu,17.50320,82.01240,10-01-2026,4.21,
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.20740,83.07430,10-01-2026,3.73,
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Araku,18.32070,82.88140,10-01-2026,4.55,
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Aruku,18.32500,82.87930,10-01-2026,7.93,
Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Sunkarametta,18.27850,82.96694,10-01-2026,2.55,
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.80710,82.49590,10-01-2026,1.21,
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.85540,82.43610,10-01-2026,0.66,
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.75600,81.38700,10-01-2026,5.61,
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chirevalli,17.59458,81.08560,10-01-2026,2.69,
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Edugarallapalli,17.74267,81.17827,10-01-2026,4.5,
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Mothugudem,17.82787,81.63193,10-01-2026,1.7,
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Sarivela,17.78168,81.28287,10-01-2026,2.7,
Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,Chaprati,17.76430,82.28963,10-01-2026,5.06,
Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.13860,82.68780,10-01-2026,3.15,
Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.65990,82.21940,10-01-2026,0.67,
Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.59610,81.71548,10-01-2026,4.09,
Andhra Pradesh,Alluri Sitharama Raju,Nellipaka,Lakshmipuram,17.71967,81.04836,10-01-2026,4.6,
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Minimuluru,18.03690,82.69990,10-01-2026,8.8,
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Paderu,18.07950,82.67350,10-01-2026,8.35,
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Vontlamamidi,17.97460,82.73340,10-01-2026,2.42,
Andhra Pradesh,Alluri Sitharama Raju,Peda Bayalu,Gamparai,18.18250,82.63740,10-01-2026,2.61,
Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,Jaddangi,17.48550,82.15820,10-01-2026,4.61,
Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,Lagarai,17.57350,82.19220,10-01-2026,3.16,
Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,Rajavommangi,17.54080,82.22290,10-01-2026,1.89,
Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Chelakaveedhi,17.46130,81.67100,10-01-2026,4.19,
Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Folkspeta,17.31390,81.83980,10-01-2026,2.12,
